Audio,Length,EN %,SW %,Gender,Remarks (Subject Matter / Comments)
https://www.youtube.com/watch?v=WK0BRWcSqwY,0:29:06,5,95,M,Lifestyle
https://www.youtube.com/watch?v=gfW-cPJqltQ,0:26:45,5,95,M,Lifestyle
https://www.youtube.com/watch?v=CYwRLEL-XSk&rco=1,0:41:39,5,95,M,Lifestyle
https://www.youtube.com/watch?v=vquLlbu0Dww,0:26:20,5,95,M,Lifestyle
https://www.youtube.com/watch?v=6sQVASyYIv0,0:49:19,2,98,M,Lifestyle
https://www.youtube.com/watch?v=oV2HkbFmH6g,0:36:24,2,98,M,Religion
https://www.youtube.com/watch?v=Ydmm8sM2gwQ,0:29:25,2,98,M,Religion
https://www.youtube.com/watch?v=r74G-2gp710,0:25:05,2,98,M,Religion
https://www.youtube.com/watch?v=sT9pNquHQbo,0:34:25,5,95,M,Lifestyle
https://www.youtube.com/watch?v=oG-ita8trCg,0:17:59,2,98,M,Religion
https://www.youtube.com/watch?v=Fn3c3tnO1hM,0:36:51,2,98,M,Religion
https://www.youtube.com/watch?v=G9gCtWXkusc,0:30:47,2,98,M,Religion
https://www.youtube.com/watch?v=JoVTiWceYBY,0:43:33,5,95,M,Religion
https://www.youtube.com/watch?v=AEKVw86ACt0&list=RDCMUC5h4-WH0LAV4CWs380yM33A&start_radio=1&rv=AEKVw86ACt0&t=458,0:40:08,2,98,M,Religion
https://www.youtube.com/watch?v=4zoAMIi1tOM,0:09:02,20,80,M,Lifestyle
https://www.youtube.com/watch?v=ANamzitZ_4s,0:23:04,30,70,M & F,Lifestyle
https://www.youtube.com/watch?v=IeMjT7w_7TQ,,,,,
https://www.youtube.com/watch?v=EEdCQ4UgL-w&list=PLACHx6GfkYe-x6OPspHhF50KNNAKbNJnN&pp=iAQB,,,,,
https://youtu.be/M9-bSSeoEfo?feature=shared,,,,,
https://www.youtube.com/watch?v=M9-bSSeoEfo&list=PLACHx6GfkYe-x6OPspHhF50KNNAKbNJnN&index=2&pp=iAQB,,,,,
https://www.youtube.com/watch?v=qm7Blr3namc&list=PLACHx6GfkYe-x6OPspHhF50KNNAKbNJnN&index=3&pp=iAQB,,,,,
https://www.youtube.com/watch?v=e8cSycUHzY4&list=PLACHx6GfkYe-x6OPspHhF50KNNAKbNJnN&index=4&pp=iAQB,,,,,
https://www.youtube.com/watch?v=fjWTOHk6Q4c&list=PLACHx6GfkYe-x6OPspHhF50KNNAKbNJnN&index=6&pp=iAQB,,,,,
https://www.youtube.com/watch?v=2Pd5zElRVt4&list=PLACHx6GfkYe9GeOSim7NBCrdSp6igAPMN,,,,,
https://www.youtube.com/watch?v=UFOvwn89A4I&list=PLACHx6GfkYe9GeOSim7NBCrdSp6igAPMN&index=2&pp=iAQB,,,,,
https://www.youtube.com/watch?v=VQFgAY2gFPE&list=PLACHx6GfkYe9GeOSim7NBCrdSp6igAPMN&index=3&pp=iAQB,,,,,
https://www.youtube.com/watch?v=J6KYTiY56u4&list=PLACHx6GfkYe9GeOSim7NBCrdSp6igAPMN&index=4&pp=iAQB,,,,,
https://www.youtube.com/watch?v=1yt24wbKMLk&list=PLACHx6GfkYe9GeOSim7NBCrdSp6igAPMN&index=7&pp=iAQB,,,,,
https://www.youtube.com/watch?v=2PYa_Pvl4J8,,,,,
https://www.youtube.com/watch?v=lFfHmT69eEA,,,,,
https://www.youtube.com/watch?v=FrIN-pE-W4A,,,,,
https://www.youtube.com/watch?v=acNz8ZYKny4&list=PLACHx6GfkYe82_zg-7rmqw2smiQVrUrkg&pp=iAQB,,,,,
https://www.youtube.com/watch?v=T6Q1ShOkKXk&list=PLACHx6GfkYe82_zg-7rmqw2smiQVrUrkg&index=2&pp=iAQB,,,,,
https://www.youtube.com/watch?v=SXDFd0lwC5Y&list=PLACHx6GfkYe82_zg-7rmqw2smiQVrUrkg&index=3&pp=iAQB,,,,,
https://www.youtube.com/watch?v=1fA0G_XNzAg&list=PLACHx6GfkYe82_zg-7rmqw2smiQVrUrkg&index=4&pp=iAQB,,,,,
https://www.youtube.com/watch?v=dtjjmKC4Omo&list=PLACHx6GfkYe9i3fimBwCoEVUydIHy8i_x&index=1&pp=iAQB,,,,,
https://www.youtube.com/watch?v=gLzUp7Gqulo&list=PLACHx6GfkYe_pqNiCGirnk2YuAyZf-QOf&pp=iAQB,,,,,
https://www.youtube.com/watch?v=n00Q2IF5HfE&list=PLACHx6GfkYe_pqNiCGirnk2YuAyZf-QOf&index=2&pp=iAQB,,,,,
https://www.youtube.com/watch?v=rBTRj_AfuyE&list=PLACHx6GfkYe_pqNiCGirnk2YuAyZf-QOf&index=3&pp=iAQB,,,,,
https://www.youtube.com/watch?v=DAY_pZ92tE4&list=PLACHx6GfkYe9i3fimBwCoEVUydIHy8i_x&index=2&pp=iAQB,,,,,
https://www.youtube.com/watch?v=9xd9e87xs6U&list=PLACHx6GfkYe9i3fimBwCoEVUydIHy8i_x&index=3&pp=iAQB,,,,,
